job_title,required_skills,job_type_1,job_type_2,linkedin_url,company,company_linkedin_url,location,posted_date,applicant_count,job_description,benefits
Information Security Manager / Datasäkerhetschef,"English, Finnish, and SwedishBusiness Administration, Cyber-security, Data Privacy, Data Security, IT Services, Information Security, and Problem Solving",On-site,Full-time,https://www.linkedin.com/jobs/view/3746294030/?eBP=CwEAAAGLdeXBdpcIbDA7-5iwBkQ1A9HyoItBdp9FO8Bg_ijDD_8Y7cjvvEsV33MN7fsHoKBXD8uoihPSVOVp-Wx2TbGDDATl6FynRxr8HkDPHr6MRqf3nmYXRxuxlgoiZ87Fr5UtSXdvXZOIkCcroNJaA1Um53WsrNrTr1FmLTbLWMgR6puuqzfM11XE7TtTQnFFhz-Lk37571gvAP_ffP8QPPxp--3FbBnaEuBMWav3cAwjthpETONuBTkLpC-bblwJvY-_-zZntaIS7k8W698Sp5oDNrp-1K1X2yD6wMAf4xRY0AREeTEIrrjj1oUV7EjXS6X_qsJohuwDkzAAqGSAOLCwbyBkLLqmkyvyWY1qhub5C4lNAtCYUvH0XyvOiNoMaAeeaTX0RTtsrc1XdOYu3Th0MTJqfv0&refId=6rqtZF2IMeB%2BGhG%2F1aUGPw%3D%3D&trackingId=ltm3skwu9N4F%2Ba0JgYXObQ%3D%3D&trk=flagship3_search_srp_jobs,Hanken School of Economics,https://www.linkedin.com/company/hanken-svenska-handelshogskolan/life,"Hanken School of Economics · Helsinki, Uusimaa, Finland  2 days ago  · 8 applicants",2 days ago,0,"About the job
IT-Services at Hanken School of Economics are searching for an Information Security Manager
Are you passionate about data security and data protection? Do you have the skills and experience to lead people and projects in this field? If so, you might be the perfect fit for our Information Security Manager role at Hanken School of Economics.














See more",
Qlik Sense Administrator,"Analytical Skills and Cloud ComputingCross-functional Coordination, Powershell, Problem Solving, Qlik Sense, QlikView, Scripting, and Software Troubleshooting",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3744707657/?eBP=CwEAAAGLdeXBdo-ET76fg-2AGaa7idhfLKdWRp_OymXnG2rEGNKKhbh7dTLHz0RijWW2dOfar65mmsp-BjiADD4qKjwTlz1HqaCN90eZr5Psm_oJLSbSYE8syntY3lN6Ez-Ek21gFrUAOmDvzd6o6t6jS-4mCaIqE8zhnvlF8NURDYW6cDyHIzfq442hd9OFQGZx-L6-8IMquwBHh4ZxuUH49dDurzq2CmAoD_P9gEbq8prmidBndO4CwTdixV1h6ESn6FYHhUa6G_1zNL9l8pQPR1Eri2QPDDZM9HXaaNKbIq4-FhAubF33303gtBehxY1tqpmyne4AOrjZK-ys7BkiwilcFpmdfMVeGIx-RZ-QU8WV59pAkgaRxmUWAKGO_7-Pom2KZQsFLOxxAj0i5WIiTRrB_KAZHXedm3Et&refId=6rqtZF2IMeB%2BGhG%2F1aUGPw%3D%3D&trackingId=%2Bxyonh%2BgaoBS6Rum8n%2BwrA%3D%3D&trk=flagship3_search_srp_jobs,Sievo,https://www.linkedin.com/company/sievo-oy/life,"Sievo · Helsinki, Uusimaa, Finland  1 week ago  · 11 applicants",1 week ago,0,"About the job
Are you our next Qlik Sense / Qlik Cloud Administrator?

At Sievo, we're revolutionizing procurement analytics software, enabling the world's largest organizations to make smarter and more timely decisions. Our product solutions are built in-house, and we're committed to continuous development and innovation. At the core of our success are talented and passionate people, and we want you on board!









See more",
Revenue Analyst,"Campaign Analytics, Problem Solving, Revenue Management, and Yield Management",On-site,Full-time,https://www.linkedin.com/jobs/view/3707060022/?eBP=CwEAAAGLdeXBdprtsipIij-Jnf71wEUO5AjNo_eRF7kb8InEKScShs0bCL-C8D-OS6IvbXs7rQvGIWt-sEx3VTb5X2zVGzUc-drADmuazelZ8h1VnVzRinfXPIpz5kXNnmW9n1JRvw7tqUWfQ11x6-F14K0ggM-f6UfCLfXXAf9sklPcScJkXBpFxSsS73-BSAhJ0MdyB-KuKfG2WQ1Costu2OnK-4bX4BB2o-FmpoOG1H2kgEqWhBIgEoArjKSEzb3Cjw3AjYB9LaWYKMuXYwz-AHvO-STa4cxYrQqDlJqZ6aTBhiX6fBOLZ02r1yUc0xEWzji3WxhIpiI-ntCxcJhGNRNIBY_OaUQbFlEYkyaO5hi5j2YA4C_q4BuDYfAbwbsds8OpsDYkEg&refId=6rqtZF2IMeB%2BGhG%2F1aUGPw%3D%3D&trackingId=Pbd0J8fOLjD7R%2BeKcEi62Q%3D%3D&trk=flagship3_search_srp_jobs,Warner Bros. Discovery,https://www.linkedin.com/company/warner-bros-discovery/life,Warner Bros. Discovery · Finland Reposted  2 weeks ago  · Over 50 applicants,Reposted  2 weeks ago,0,"About the job
Every great story has a new beginning, and yours starts here.

Welcome to Warner Bros. Discovery… the stuff dreams are made of.

Who We Are…

When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands, are thebringing our characters to life, thebringing them to your living rooms and thecreating what’s next…

From brilliant creatives, to technology trailblazers, across the globe, WBD offers career defining opportunities, thoughtfully curated benefits, and the tools to explore and grow into your best selves. Here you are supported, here you are celebrated, here you can thrive.



The Analyst, Revenue Management, will support and work in close collaboration with the local Ad Sales Team by providing strong sales and marketing arguments helping the Ad Sales Team to achieve their goals, as well as and participate in external meetings.

Furthermore, they will be a part of the Revenue Management Team with focus on key aspects as inventory and yield management optimization.











This last bit is probably the most important! Here at WBD, our guiding principles are the core values by which we operate and are central to how we get things done. You can find them at www.wbd.com/guiding-principles/ along with some insights from the team on what they mean and how they show up in their day to day. We hope they resonate with you and look forward to discussing them during your interview.



Warner Bros. Discovery embraces the opportunity to build a workforce that reflects the diversity of our society and the world around us. Being an equal opportunity employer means that we take seriously our responsibility to consider qualified candidates on the basis of merit, regardless of sex, gender identity, ethnicity, age, sexual orientation, religion or belief, marital status, pregnancy, parenthood, disability or any other category protected by law.

If you’re a qualified candidate with a disability and you need a reasonable accommodation in order to apply for this position, please contact us at recruitadmin@wbd.com.
See more",
Data Scientist,"Data Analysis, Data Science, Machine Learning, R (Programming Language), and Research SkillsBioinformatics, Quantitative Research, Real World Data (RWD), Real World Evidence (RWE), and Statistics",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3735986015/?eBP=CwEAAAGLdeXBdqHSZqm4i4wM_Z26SD8LI6Uwyjtow8iVzdMf8GjX5zWshQ9f-ORPpSERU2PNVVSWktd6XGAywPa-bToxjLE_Zqpi2_T21ZisqVrqjTMVdCmfMGtu7Ar9Can6iqwmXcgwcBcV5Fvs5T9f5xlVRNbTg_EXOjvr_zLQBp0y2o735OWjLZDq9VAnS5f9spDePqQfPHWxcdA3q1dN1zxcWawqFjlzSNuYGtcAs-qMWXTkfgXlNGx_huXJwGZM5Zf4gdnWHFTXNDlECDm7lD5hIOJRr0b4So5OR-97xr6k8TPQSFvXsdAjf-6oCkgB-dnxeXib40AykUi1pXWBHbQB6Kqinxlz3HMclbRVs4JEukU3gRlR8uegkIAv4gGjq1yfKcxxSAdSejIYOmxq6w9jdp7swaYjoKNO&refId=6rqtZF2IMeB%2BGhG%2F1aUGPw%3D%3D&trackingId=pkErxjlHNpqoPMWDRJ7QqA%3D%3D&trk=flagship3_search_srp_jobs,MedEngine,https://www.linkedin.com/company/medengine/life,"MedEngine · Helsinki, Uusimaa, Finland  2 weeks ago  · Over 50 applicants",2 weeks ago,0,"About the job
MedEngine is a digitally minded, people-first, premium partner for the pharmaceutical industry. We are committed to accelerate the future of care by crafting elegant solutions in scientific content and digital engagement, medical data science, and market access.

To succeed in our mission, we have created a home for smart, creative, and business-oriented scientists: a group of experts with the motivation and skills necessary to deliver cutting-edge solutions and outstanding service quality MedEngine is known for. We are based in Helsinki (Finland), Copenhagen (Denmark), and Stockholm (Sweden) and we service the pharma industry’s leading companies with a global reach.








See more",
Data Engineer,"Data Analytics, Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)Airflow, Communication, Data Modeling, and Google BigQuery",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3750477070/?eBP=JOB_SEARCH_ORGANIC&refId=6rqtZF2IMeB%2BGhG%2F1aUGPw%3D%3D&trackingId=k2DNH2VYjwUUWf3YSyhPTw%3D%3D&trk=flagship3_search_srp_jobs,The Hub,https://www.linkedin.com/company/thehubio/life,"The Hub · Helsinki, Uusimaa, Finland  17 hours ago  · 3 applicants",17 hours ago,0,"About the job
About Huuva

Huuva Kitchens turn local communities into culinary hotspots by catering the best dishes from the hottest restaurants. With Huuva, there’s always something new that you can mix and match to be delivered to your door with superior convenience and quality.

Huuva operates a network of local kitchens that plug into the local and global food scene, making those experiences accessible beyond the most central city locations with always something new to discover. As our dishes are made locally, they also come to you faster. Saving time, money and the environment.

Our kitchen technology enables our chefs to focus on the most important thing – the quality and joy of making the best dishes, all curated and cooked by people with a passion for great food and an appetite for what comes next. This is the power of Huuva OS - the most advanced kitchen platform ever created.



You will be part of a team focusing on our Back-of-House technology, meaning an operating system that covers all aspects from handling orders across sales channels to inventory management. Data engineering and operative analytics are at the very core of all this as we strive to be the best operator in the industry.

As a Data Engineer, you will be the primary owner of our analytics data infrastructure which is built on top of GCP’s BigQuery data warehouse and supported by tools and technologies like DBT Cloud, Hightouch, Airflow, Python and Kafka.



In short, we are looking for a candidate with passion for data engineering and enough experience to own and develop our data warehousing and analytics capabilities as the primary owner.

Seniority in building data pipelines, data modeling, scripting with Python and the aforementioned tools is expected. Familiarity with data streaming and data visualization is considered as a plus.

In addition we expect solid communication and collaboration skills combined with fluency in English, written and spoken.







If you want to take part in Huuva’s journey, please start by sending your application via the link.

We will be reviewing applications on an on-going basis. The process will include two interviews, a short assignment, and discussion with the team.

Read more about us: Really good food with a hint of software HS Visio Bloomberg
See more",
Data Science - Machine Learning Engineer,"Artificial Intelligence (AI), Computer Science, Data Mining, Data Science, MLOps, Machine Learning, Natural Language Processing (NLP), Pattern Recognition, and Software DevelopmentCadence Encounter",Remote,Full-time,https://www.linkedin.com/jobs/view/3629670334/?eBP=JOB_SEARCH_ORGANIC&refId=6rqtZF2IMeB%2BGhG%2F1aUGPw%3D%3D&trackingId=3elxDbLne956ygDSqyPQKg%3D%3D&trk=flagship3_search_srp_jobs,Wolt,https://www.linkedin.com/company/wolt-oy/life,"Wolt · Helsinki, Uusimaa, Finland Reposted  2 weeks ago  · Over 50 applicants",Reposted  2 weeks ago,0,"About the job
Job Description

Team purpose and mission

Working embedded with Data Scientists and other engineers to develop, deploy, scale and maintain impactful Machine Learning solutions


📍This role can be based in one of our tech hubs in, Berlin or Stockholm, or you can work remotely anywhere in Finland, Sweden, Germany, Denmark, and Estonia. Read more about our remote setup here. If you live outside of these countries - not to worry! We provide relocation support to help you make your way to Finland, Germany or Sweden.







The position will be filled as soon as we find the right person, so make sure to apply as soon as you realize you really, really want to join us!

The compensation will be a negotiable combination of monthly pay and DoorDash RSUs. The latter makes it exceptionally easy to be excited about our company growing and doing well, as you’ll own a piece of the pie.

For any further questions about the position, you can turn to Product+ Talent Acquisition Partner - Michal Szafraniec



Wolt is a technology company that makes it incredibly easy to discover and get the best restaurants, grocery stores and other local shops delivered to your home or office. Wolt is not just a delivery app – we’re a technology company building a commerce platform to seamlessly connect our millions of customers with thousands of merchant and courier partners, in real-time across 23 countries and 250+ cities. Our apps (iOS and Android) have the industry’s highest ratings, largely thanks to our customer-first-mindset, which shows in how we build products and run operations. In June 2022 we officially joined forces with DoorDash. Combined, we have a presence in 27 countries, 23 of which operate with the Wolt brand and app. Wolt and DoorDash continue largely independently, with Wolt’s name, brand, product, technology and team.



At Wolt, we’re about getting things done. You’ll probably enjoy it here if you like taking ownership, developing yourself and being around friendly, humble and ambitious people.

The behind the scenes of Wolt is run by an awesome bunch of over 400+ planners, builders, designers and data crunchers. We call ourselves Product+, as we’re the very core of Wolt’s products, tools and platforms. To build our products, we work in over 40 cross-functional, independent and autonomous teams. Teams are made up of a mix of talented individuals: engineers, designers, data scientists, analysts, and product leads. Each team takes ownership for solving customer problems in the best possible way.



We want to have all sorts of people in our team – people like you and me, and people different from you and me. To be able to work with diverse teammates – when it comes to gender, age, ethnicity, life background, sexual orientation, political views, religion, or any other personal trait – we consciously aim to offer equal opportunity for everyone to work with us. This is because we believe diverse teams make the most thought-through decisions and build things in the most inclusive way.

Join us today to build Wolt together!

See more",
Data Platform Engineer,"Cor, Information Technology, Information and Communications Technology (ICT), LinkedIn, Microsoft Endpoint Configuration Manager, Microsoft Intune, Office 365, and Service Desk",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3733236101/?eBP=CwEAAAGLdeXBdm4WWi4fuQ8ciRQL-I_JAymikuXmmtP_WaednSgxqdqpsQYTRi8Gug1lSwpKKVRpq-20cITZ_XWRFiWDNkqae3SJEr8wMRzmkRobkJl3K7YC7geI_ejTaFMv9AThBZLkPNc3XgJgqa8q5u_YQgJq8VsC5mLpLdyiDILPRfCNy3wFIoPMeIvDTNsEjtEDLHWGGWklMb3sNgE4-C4GIMoyCjfCpT6KVaAc6h6aX2o4A3rp17OSJG4p3ByV9utrxDO_TxqKVLnCmq0Q1EnKyKLTdnsuhL4ArFtzCoAW5m1RttNKOIe2PkgwzBfFn_PtrAgZx-kxZFonEXrt6iGL4BSlz9wQTQNulS-s4dzGIvFtfdtvksvwZSrRRmIXsNDIZvJd4w8XULt8735L1ePCUMhYk7jKYw&refId=6rqtZF2IMeB%2BGhG%2F1aUGPw%3D%3D&trackingId=IgFm5BBrGQVWTZwF0K3U6Q%3D%3D&trk=flagship3_search_srp_jobs,COR Group Oy,https://www.linkedin.com/company/cor-group-oy/life,COR Group Oy · Helsinki Metropolitan Area  1 week ago  · 33 applicants,1 week ago,0,"About the job
Cor Group -konsernin liiketoiminnan kehitys- ja analytiikkatiimi etsii nyt joukkoonsa Helsinkiin tai Ouluun sinua, Data Platform Engineer.

Suosittelen jatkamaan lukemista, jos
hallitset IT-infrastruktuurin ja tuotekehityksen
toimit hands on -asenteella

Mitä Data Platform Engineer tekee?

Mitä tarjoamme?


Mitä toivomme sinulta?




See more",
Energy Modelling Analyst,"Computer Science and MathematicsEnergy Markets, Energy Modeling, Environmental Economics, Hydrogen, Modeling, Optimization Models, Price Forecasting, and Statistical Modeling",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3735644173/?eBP=CwEAAAGLdeXBdvVRtoEoCR9uVW2IjbhmFV5ee18qocGudOS7gkuMUvdmRPy5BX3m9PTbJAFkdLr7kgXqGw_ZX0g-vfQUC3_KFvRC2gFvY9flY3W-jJrdUidihIDKbtuyfOLQETxr5f3QaYrlxnUcEk3PRZ-fgKwlXHtfedxK1Xb6YHa3iTVJLULD0fgNvf2a-ivKYsaQy-cXo36NzLj78DXW05_5uDlIxQYMlOrbO5SCCN_4DFsl30VafHR8pDiArP9UCofV_g4MBqQbgIj3HVKs4NJ_zkXexPvC9aSJpgEAbIWpiL_2fjBzKRVZ1_qR_Wxg6m5PQTHSf612ltfgqy98YYl3fIoiECbLh4U7g1F5hS8etO_FkiG49w0EKa9-IoM5bNQI5U5PFoHuD9T8Ktm690IraiSyFa_GCQ7G&refId=6rqtZF2IMeB%2BGhG%2F1aUGPw%3D%3D&trackingId=Y%2BAaLfGgJ3Iqop1At7wxxQ%3D%3D&trk=flagship3_search_srp_jobs,VaasaETT,https://www.linkedin.com/company/vaasaett/life,VaasaETT · Helsinki Metropolitan Area  2 weeks ago  · Over 50 applicants,2 weeks ago,0,"About the job
Type: Full-time, permanent
Starting date: As soon as possible
Location: Hybrid, a combination of remote work from home and Helsinki office

VaasaETT is a leading market analytics consultancy, specialising in energy and related market issues in nearly 100 jurisdictions around the world. For over a decade, our experts have provided support for energy companies, governments, regulators, innovators, the financial sector, and other stakeholders based on the most extensive and advanced market insight. Since inception, we have also kept a strong focus on the energy consumer and have helped drive the energy transition towards greater sustainability, having, for instance, co-founded what is today smartEn (Smart Energy Europe). At the heart of our differentiation is a network of thousands of experts and specialists on four continents with whom we collaborate to gain global reach, knowledge, and best practices. VaasaETT’s truly global focus is reflected by our diverse client base covering 6 continents, 30+ Fortune Global 500 companies, the European Commission and governments, authorities and other stakeholders around the world. VaasaETT is headquartered in Helsinki, Finland, with an additional office in Greece, and key partners across Europe and in Australia, New Zealand, Asia and the United States.
















See more",
RWE Scientist / Epidemiologist,"Customer Relationship Management (CRM), Epidemiology, Immunology, Oncology, Outcomes Research, Pharmaceutical Sciences, Project Management, Rare Diseases, Real World Evidence (RWE), and Scientific Writing",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3737909849/?eBP=CwEAAAGLdeXBdvlB7oIQHl8WRvPgLm2Njmeu7CAwyPNRIyrYjT2594TtAAG6bVtuGbtKYWazcd_NqJt_AjZ2k8pGo21_EmkL-P3i7UhsuU1hmD0KV2JNMc9MobDmkHgFijBBCIVp8tDl0JruULJD5U67ksXhSNk7HiPVZfhxP3KcACMMrhsL8MguJNA-MHdOGHZVG7FT6AEgYcOKoKqVJtCN5yFWNDwbtNKnfKZacygxSKXvlwlQEL02gUkQ3lL3pdtWPgfiBmBmm9ggCxmYKLmcsChhmQTxxxsKcCFf72CR6nM4V7YeQ8Z9y7R5s9AlXCsYXdF11_pi3SwkRjtRZqKzKV_qbBzMAShCRHkBOU2J0h5RDyYewG1QQWMy9GTZAs9c_wQstM_Ddvomcy_lMYfylVU01ujyTiIViB1s&refId=6rqtZF2IMeB%2BGhG%2F1aUGPw%3D%3D&trackingId=Gtr0hYP5%2FUlzNa2N28X59w%3D%3D&trk=flagship3_search_srp_jobs,MedEngine,https://www.linkedin.com/company/medengine/life,"MedEngine · Helsinki, Uusimaa, Finland  2 weeks ago  · Over 50 applicants",2 weeks ago,0,"About the job
MedEngine is a digitally minded, people first, premium partner for the pharmaceutical industry. We are committed to accelerate the future of care by crafting elegant solutions in scientific content and digital engagement, medical data science, and market access.
 To succeed in our mission, we have created a home for smart, creative, and business-oriented scientists: a group of experts with the motivation and skills necessary to deliver cutting-edge solutions and outstanding service quality MedEngine is known for. We are based in Helsinki (Finland), Copenhagen (Denmark), and Stockholm (Sweden) and we service the pharma industry’s leading companies with a global reach.










See more",
"Data Scientist, Data Platform & AI","Computer Science, Data Analytics, Data Engineering, Data Science, Deep Learning, Natural Language Processing (NLP), and R (Programming Language)Data Visualization, Predictive Analytics, and Statistical Data Analysis",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3741932119/?eBP=CwEAAAGLdeXBdhMM9jrFOpHHsajWKlfFEw9prwZEkCwLcNqJde_taecTV4FrF7WrtAvbwO88JSq14xHS5i17HhEzxj6vZ3-0cdNdiNsqGE2Cfnb5OqCbs_Hixd2t62hUegHzCY_xDq4sPHiYLMOrSYpGRz2geqjDDzKzjoRMcyEbK3gozVq6pdYTsWT8e4x4mRM7kDMp2GBHPPAUpNvvvoV2GLzUWmuUpH0r0ZIaBxvuKxINCtlcNPR-4UwTPOQZX28jSOXslSYGT6AxvxhTfQjARUodUGiZqGBQMHtpc0J0Pxd-wEaLFbkM5XPyBeUHTedJqL7M2gB4Dig-JRG40YAhSgLYYh86dqoKT01yH9r9eD5nZR4ama3XDu-vUkL33otJKsE4EXE&refId=6rqtZF2IMeB%2BGhG%2F1aUGPw%3D%3D&trackingId=QsQGcG70nmLYopQlgyEWsg%3D%3D&trk=flagship3_search_srp_jobs,OP Financial Group,https://www.linkedin.com/company/op-financial-group/life,"OP Financial Group · Helsinki, Uusimaa, Finland  1 week ago  · Over 50 applicants",1 week ago,0,"About the job
Hey, you seasoned Data and AI expert! We at OP are currently searching for a Data Scientist to become a valued member of our Data Platform & AI tribe in Vallila, Helsinki!

As a Data Scientist at OP you will

As a Data Scientist you will be working in the FÄ Lab team with fellow data scientists, developers and engineers to help the team in its goal to discover, promote and create AI and Data-enabled products and services for group level cross-domain use cases.

In this role you get the chance to work with some of the latest technologies in AI / Data Science and to apply them to solve tangible real-world problems – for example researching and building speech-to-text services and applying modern methods (e.g LLMs, Generative Models) the to gain insight.



You need some solid Data Science experience demonstrated with demanding use causes with Python stack in cloud (AWS/Azure). Previous work history resulting in full-stack competence with ability and desire to take the models all the way to production with quality code is something that you can be proud of and of importance to us! Strong NLP experience and experience in working within an agile team is considered a bonus as well as is creative and curious mindset.



We offer a responsible and independent role. We trust our experts and encourage everyone to make bold proposals and decisions. Above all, you are not doing all this on your own! You are surrounded by a solid group of experts to work with.

You also get a stable working environment where you can contribute to our core values responsibility, people first and succeeding together. We follow a hybrid model working flexibly both on-site as well as remotely. To help counterbalance work where you are expected to take a lot of responsibility, we seek to ensure employee wellbeing and to enable forward-looking work arrangements.

At OP we encourage and help you to further develop yourself as a technical professional. 10 % of your work time is reserved to learn and try new things. You have OP Software Academy at your disposal in case you are interested in learning new technologies or methodologies, or why not in honing your skills in your current stack. Additionally, you will enjoy a wide range of staff benefits.



Great – that’s what we were hoping for! The application period is open until. If you have any questions in your mind, Senior Product Owner Simo Kilponen simo.kilponen(a)op.fi +358503057548 is happy to answer to your questions.



In the financial sector, our business is founded on trust and accountability, which is why the successful candidate will be checked for credit history and corporate connections, must take a drug test and a security clearance vetting made by the Finnish Security and Intelligence Service.

Equality and diversity are highly valued at OP Financial Group. We welcome job applications from people of all kinds, regardless of their gender identity or age, or the culture or minority group with which they identify.

See more",
