job_title,required_skills,job_type_1,job_type_2,linkedin_url,company,company_linkedin_url,location,posted_date,applicant_count,job_description,benefits
RWE Scientist / Epidemiologist,"Customer Relationship Management (CRM), Epidemiology, Immunology, Oncology, Outcomes Research, Pharmaceutical Sciences, Project Management, Rare Diseases, Real World Evidence (RWE), and Scientific Writing",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3737909849/?eBP=CwEAAAGLV25wMFQtXwMO4pd4XdaahI2AOfl4fQXY5M8IntTfH3hZnMBIIEnPDWDBrzOM-oWLAUcA2Bu-dxvaLN1jfl2I4Ixo_9J1Qg6ZKwx6ydKShlpNfuykwlHNYDcPGfiggRDvsbkwUfCRPe74irHdfjKvSneBbPXdcJY9Jbz7aI-TqEUmD9QPdaFxjgKfJzmadCe7mYIvRfokyZr6evP4wutXjmzqjzMbZHD9B8w_GmUeTWn7X9GnXfnbsUBt3kABs0ZlZksAbNQyN0X9cdqzFw6jWczOrD29NxTSpPZYNMsmEWHz1sEhxA-m7LL6ebjbUqrWgaczt5BpLkovXoqomU26_q-B3E8aBvwwPYggOksFIWhJ59XL63UaoHMm_Ticeq5tG-_d-p9C4hV99gXssHx4dY4jYJ0&refId=EGl5NGn6lBxnkhKOBQJ2nA%3D%3D&trackingId=%2Bs7g9VzNA%2F64TLO5FMvHWQ%3D%3D&trk=flagship3_search_srp_jobs,MedEngine,https://www.linkedin.com/company/medengine/life,"MedEngine · Helsinki, Uusimaa, Finland  1 week ago  · 34 applicants",1 week ago,0,"About the job
MedEngine is a digitally minded, people first, premium partner for the pharmaceutical industry. We are committed to accelerate the future of care by crafting elegant solutions in scientific content and digital engagement, medical data science, and market access.
 To succeed in our mission, we have created a home for smart, creative, and business-oriented scientists: a group of experts with the motivation and skills necessary to deliver cutting-edge solutions and outstanding service quality MedEngine is known for. We are based in Helsinki (Finland), Copenhagen (Denmark), and Stockholm (Sweden) and we service the pharma industry’s leading companies with a global reach.










See more",
Data Engineer,"Data Engineering, Git, Python (Programming Language), and SQLAzure Data Factory and NoSQL",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3736532279/?eBP=CwEAAAGLV25wMFJ6BZg-y_0_Hw-7xGsTUbEMXzfeC_1mRJHwtg3xDQj2UQ5q52N4fuv8GgYT1BAzMNFw2UE3qa6cW-iDCBnNmylTA1gaXsy0da3zFl4JuSlVQf0W3YftQt8I97RuSaatYW70yZ_F8gqalhTlRmVkxxDZ57Uz6EXaEQvNAwx7SSd0slVtdfiDUEAlVr_f3uMMXd-wmDqH4lYZSYWuqXzEaJoBtgHo9GkEnLluaWr0d8GR4xhZ_7PDtSnmrsCbh2HW9xx1ABUcjVVFs5Kh8V47Zg5-5Cs9afH8LxvpT89UALdYOkWiZA15QHBzzPKAS8I-F7SW5dPIsS9NM-sHtvOsSXNsL_RU4wls0V2JiMP6OQFnMH_ZcLZL7xzlYNHg&refId=EGl5NGn6lBxnkhKOBQJ2nA%3D%3D&trackingId=cVWZC0%2FbMOPFcq0E3ubrCA%3D%3D&trk=flagship3_search_srp_jobs,Suomen Palloliitto - Football Association of Finland,https://www.linkedin.com/company/football-association-of-finland/life,Suomen Palloliitto - Football Association of Finland · Helsinki Metropolitan Area  1 week ago  · 31 applicants,1 week ago,0,"About the job
DATA ENGINEER

SUOMEN PALLOLIITTO RY

Jalkapalloa jokaiselle! Visiomme on olla menestyvä jalkapallomaa - hyvinvoinnin kasvattaja.









See more",
Senior Game Analyst,"Analytical Skills, Data Analysis, Economics, Machine Learning, Mathematics, and Python (Programming Language)Communication, Data Modeling, Econometrics, and Gameplay",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3717037977/?eBP=CwEAAAGLV25wMKwqWCQk5RY2dcrfoUnNJgFA8lHUS_mmaTZAQnf4xiMmRmRGDWxWd1YdsuoMMOqifcuuiEzB--WlpMbOE4--exACROr48iqMuiwpvMZCxFLUHa-aocuAMOcq9_MUzccqwnH_Xo37OcnpHqp5zMTyLkAx-5xQDajpEqAqk1rGUxHTTx0K3lh0L7Fx-D4WmQg_UL71OrMVJqOXRQoROogpgV3XTpUhPPYz7qDCa_pLLJaPwunpM0x3zDpX9GzjVtIqNEuycBBVyGAbjXTbA8ROb-1iuZFFbnAitJMAPH-Dgw9ikYVLo2Y--0LAA0l4GaiXydJnzTzjKWYVFT_QRIM3T0R-wEoM2DVXbMTW_tloE_Xc118pfxAA-x0y5-ImM8dGyVaLCEVAuSsZQDCW4bD5mF0&refId=EGl5NGn6lBxnkhKOBQJ2nA%3D%3D&trackingId=Fg3IU5ZY1b8biMhp55SzXg%3D%3D&trk=flagship3_search_srp_jobs,"Next Games, A Netflix Game Studio",https://www.linkedin.com/company/next-games/life,"Next Games, A Netflix Game Studio · Helsinki, Uusimaa, Finland Reposted  6 days ago  · 72 applicants",Reposted  6 days ago,0,"About the job
Next Games is a Netflix Game Studio, focusing on creating compelling fans-first interactive experiences by combining the stories of well-known movies and shows with engaging game mechanics. An unwavering focus on fans and fun gameplay is at the core of the studio’s game development, free from the constraints of free-to-play. 

As a Senior Games Analyst you will be an integral part of our very international Business Intelligence team working in Helsinki, Finland. We are looking for someone with both experience with and passion for analyzing mobile games, and a knack for unearthing actionable insights for game teams and related stakeholders.




See more",
Data Scientist,"Data Analysis, Data Science, Machine Learning, R (Programming Language), and Research SkillsBioinformatics, Quantitative Research, Real World Data (RWD), Real World Evidence (RWE), and Statistics",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3735986015/?eBP=CwEAAAGLV25wMCbxRFTooHX85H4nlypgNaqgPCGz5AvV1RrJxT5ZsH1UY0Zo7ItIJUvYvedxrd5dCBvd4039FzQhcVVwR8z-U-A_ANoEr88xYEfjP9gcrSE3z2uK56QdSRdNGEhZGE5envh6-fUL1aSVBv6Grh2oX_WbmIH1dKkbApDNtZnCdV6xyS8387wNVQ99IBnQLE7sEcoIOlSBNpgbIl338GhUPk3jtDy2yB_Wt8RZLHXPvTsveymvbERtPqbFfhqx4TivlSgLzsfSDE7RrSrVZtg2jlh9ctUosgWwbasCUfTO9h5HN8rR4i5Ei8wlEvDbbZtRO1zJyML-t9TSxGJ-ypoipvzjvtdAFz_AMjbi7kZsQ1RSS3Cq05crZZEOe5Gibg2IMXwS-fnFyHzeouJaejrLrLE&refId=EGl5NGn6lBxnkhKOBQJ2nA%3D%3D&trackingId=mbkYvVcM26WYYo58nJYdcA%3D%3D&trk=flagship3_search_srp_jobs,MedEngine,https://www.linkedin.com/company/medengine/life,"MedEngine · Helsinki, Uusimaa, Finland  1 week ago  · 89 applicants",1 week ago,0,"About the job
MedEngine is a digitally minded, people-first, premium partner for the pharmaceutical industry. We are committed to accelerate the future of care by crafting elegant solutions in scientific content and digital engagement, medical data science, and market access.

To succeed in our mission, we have created a home for smart, creative, and business-oriented scientists: a group of experts with the motivation and skills necessary to deliver cutting-edge solutions and outstanding service quality MedEngine is known for. We are based in Helsinki (Finland), Copenhagen (Denmark), and Stockholm (Sweden) and we service the pharma industry’s leading companies with a global reach.








See more",
Data Science - Machine Learning Engineer,"Artificial Intelligence (AI), Computer Science, Data Mining, Data Science, MLOps, Machine Learning, Natural Language Processing (NLP), Pattern Recognition, and Software DevelopmentCadence Encounter",Remote,Full-time,https://www.linkedin.com/jobs/view/3629670334/?eBP=JOB_SEARCH_ORGANIC&refId=EGl5NGn6lBxnkhKOBQJ2nA%3D%3D&trackingId=ua%2FiWVbvTX8nk0Ch1swtcA%3D%3D&trk=flagship3_search_srp_jobs,Wolt,https://www.linkedin.com/company/wolt-oy/life,"Wolt · Helsinki, Uusimaa, Finland Reposted  2 weeks ago  · 550 applicants",Reposted  2 weeks ago,0,"About the job
Job Description

Team purpose and mission

Working embedded with Data Scientists and other engineers to develop, deploy, scale and maintain impactful Machine Learning solutions


📍This role can be based in one of our tech hubs in, Berlin or Stockholm, or you can work remotely anywhere in Finland, Sweden, Germany, Denmark, and Estonia. Read more about our remote setup here. If you live outside of these countries - not to worry! We provide relocation support to help you make your way to Finland, Germany or Sweden.







The position will be filled as soon as we find the right person, so make sure to apply as soon as you realize you really, really want to join us!

The compensation will be a negotiable combination of monthly pay and DoorDash RSUs. The latter makes it exceptionally easy to be excited about our company growing and doing well, as you’ll own a piece of the pie.

For any further questions about the position, you can turn to Product+ Talent Acquisition Partner - Michal Szafraniec



Wolt is a technology company that makes it incredibly easy to discover and get the best restaurants, grocery stores and other local shops delivered to your home or office. Wolt is not just a delivery app – we’re a technology company building a commerce platform to seamlessly connect our millions of customers with thousands of merchant and courier partners, in real-time across 23 countries and 250+ cities. Our apps (iOS and Android) have the industry’s highest ratings, largely thanks to our customer-first-mindset, which shows in how we build products and run operations. In June 2022 we officially joined forces with DoorDash. Combined, we have a presence in 27 countries, 23 of which operate with the Wolt brand and app. Wolt and DoorDash continue largely independently, with Wolt’s name, brand, product, technology and team.



At Wolt, we’re about getting things done. You’ll probably enjoy it here if you like taking ownership, developing yourself and being around friendly, humble and ambitious people.

The behind the scenes of Wolt is run by an awesome bunch of over 400+ planners, builders, designers and data crunchers. We call ourselves Product+, as we’re the very core of Wolt’s products, tools and platforms. To build our products, we work in over 40 cross-functional, independent and autonomous teams. Teams are made up of a mix of talented individuals: engineers, designers, data scientists, analysts, and product leads. Each team takes ownership for solving customer problems in the best possible way.



We want to have all sorts of people in our team – people like you and me, and people different from you and me. To be able to work with diverse teammates – when it comes to gender, age, ethnicity, life background, sexual orientation, political views, religion, or any other personal trait – we consciously aim to offer equal opportunity for everyone to work with us. This is because we believe diverse teams make the most thought-through decisions and build things in the most inclusive way.

Join us today to build Wolt together!

See more",
Data Engineer,"Data Analytics, Data Engineering, Data Science, Data Warehousing, Databases, and Extract, Transform, Load (ETL)Airflow, Communication, Data Modeling, and Google BigQuery",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3741515996/?eBP=JOB_SEARCH_ORGANIC&refId=EGl5NGn6lBxnkhKOBQJ2nA%3D%3D&trackingId=nb2Re7ZdlO61%2Bh2meZlQAA%3D%3D&trk=flagship3_search_srp_jobs,The Hub,https://www.linkedin.com/company/thehubio/life,"The Hub · Helsinki, Uusimaa, Finland  5 days ago  · 44 applicants",5 days ago,0,"About the job
About Huuva

Huuva Kitchens turn local communities into culinary hotspots by catering the best dishes from the hottest restaurants. With Huuva, there’s always something new that you can mix and match to be delivered to your door with superior convenience and quality.

Huuva operates a network of local kitchens that plug into the local and global food scene, making those experiences accessible beyond the most central city locations with always something new to discover. As our dishes are made locally, they also come to you faster. Saving time, money and the environment.

Our kitchen technology enables our chefs to focus on the most important thing – the quality and joy of making the best dishes, all curated and cooked by people with a passion for great food and an appetite for what comes next. This is the power of Huuva OS - the most advanced kitchen platform ever created.



You will be part of a team focusing on our Back-of-House technology, meaning an operating system that covers all aspects from handling orders across sales channels to inventory management. Data engineering and operative analytics are at the very core of all this as we strive to be the best operator in the industry.

As a Data Engineer, you will be the primary owner of our analytics data infrastructure which is built on top of GCP’s BigQuery data warehouse and supported by tools and technologies like DBT Cloud, Hightouch, Airflow, Python and Kafka.



In short, we are looking for a candidate with passion for data engineering and enough experience to own and develop our data warehousing and analytics capabilities as the primary owner.

Seniority in building data pipelines, data modeling, scripting with Python and the aforementioned tools is expected. Familiarity with data streaming and data visualization is considered as a plus.

In addition we expect solid communication and collaboration skills combined with fluency in English, written and spoken.







If you want to take part in Huuva’s journey, please start by sending your application via the link.

We will be reviewing applications on an on-going basis. The process will include two interviews, a short assignment, and discussion with the team.

Read more about us: Really good food with a hint of software HS Visio Bloomberg
See more",
"Data Analyst, Merge Mansion","Data Analysis, Mathematics, Python (Programming Language), SQL, and TableauMobile Games, Snowflake, and Snowflake Cloud",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3727058700/?eBP=CwEAAAGLV25wMPSoTb0xRGfuDlOBQh4-cxQ3ONFedOYqRCeoHJzKdzDIUKY28mjGT6FQN5JgpTzj1LkxT-kOplwuED0bLH8cBPKtQa_gH_ln-PFky5bqb2HNv-78KlYHJgt9kQf3jfD6ALmNPhXh6BM_OULZ2NCBDLHI_bsOJbYB9u1aSnXuJeM8-2qsIkb1qgKm9iYSF69RAdDG88o8yb7qKoK9n40C3vRFVFzCjN-8qTXh35RQn8YoJlj86tE2bZk1FuW3XT7A6Qrl55UWr_tqTbmD4sYhzegJUdVE6dsWDF7apzu5gDw9ax4i1pW7wcDw7NljQYw_8xIPJxT6-cZsH3LNa9NH6u3DIQe8RaAj21Uz96tccEzHY7T9cZvsFqx7amr_n9lYUKTg1En8_yRpeAscw1TXhJ0&refId=EGl5NGn6lBxnkhKOBQJ2nA%3D%3D&trackingId=PZqaM%2Fu3CaZK3YnAiqZsWQ%3D%3D&trk=flagship3_search_srp_jobs,Metacore,https://www.linkedin.com/company/metacoregames/life,"Metacore · Helsinki, Uusimaa, Finland  3 weeks ago  · 134 applicants",3 weeks ago,0,"About the job
Are you a curious Data Analyst up for helping our Merge Mansion team to make this hit game even better?

Ready to join one of Europe's fastest growing game companies?

If yes, Metacore could be the right place for you










See more",
Data Scientist / Senior Data Scientist,"Amazon Web Services (AWS), Data Analytics, Data Science, Google Cloud Platform (GCP), Machine Learning, and Microsoft AzureData Visualization, Good Clinical Practice (GCP), Knowledge Acquisition, and SQL Database Administration",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3737207873/?eBP=CwEAAAGLV25wMC5XZd_7D3qUtAD9bWUyaTjqP5W-w3w2SvoanHFhp3ZucVsVzMUQwNutGUpM-Le_xE8KEZ8l9Bd3MDA-Fll0aPChWobmTICRTD-HRdwkJeUD69_K6gfKub8mLUECaaXdNVVarE3i0HEIHJpG1HF3Y0lxaoAF7rSOzDhWd2hpNG_Z5xsLv5XtT21-_gOhQQYaCmrt2uaSLyluu5GVNl9lzXMH6THhs3r9UGXBVzp4FjAsr7n5ZfCSdQiI9Et9qWga3IEpBHyardil_ILgq6Cb6iKVUFTRi0XY3lAMvta8nd394a3wYp7gMwERocc-YD9N5Ypp1OsPVZXFF4uHgNhywRGUnodAhTD4v6GerfQLMPuYMxb2PYvZbUquvPaZ&refId=EGl5NGn6lBxnkhKOBQJ2nA%3D%3D&trackingId=VdOjwjnMcHNCCSFx%2BGCMAg%3D%3D&trk=flagship3_search_srp_jobs,Basware,https://www.linkedin.com/company/basware/life,"Basware · Tampere, Pirkanmaa, Finland  1 week ago  · 39 applicants",1 week ago,0,"About the job
Looking to showcase your talent in a leading global technology company?

Basware, an established high-growth tech company operating around the globe, seeks a skilled and experienced

(Senior) Data Scientist

for our Networked-AP area at Basware.

As a (Senior) Data Scientist, you will be working with invoices, purchase orders, and other associated data. In the role, you will be responsible for leading Networked-AP’s data science activities and actively contributing towards data strategy. You will work with our existing machine learning features and create new features in collaboration with the development teams. Additionally, you will have the opportunity to make a significant contribution to Basware’s business success by increasing data literacy and leveraging data across the organization.

The ideal candidate has extensive hands-on knowledge of statistics, machine learning, SQL databases and has experience in training machine learning models at scale. We are looking for a candidate who has M.Sc. or above in Computer Science, Statistics, Mathematics, or a related field.

Other qualifications:



At Basware, we have diverse multi-national teams, and our preferred language of communication is English.



We would love to hear from you! Go to careers.basware.com and click ""I'm interested"". In case you have any questions about the position, our recruiter Jaana (jaana.kettunen(at)basware.com) is happy to answer.

Our recruitment process will include pre-employment actions such as security background and reference checks.



We offer flexibility in how you work, giving you the freedom and support to deliver your best results. As a company, we are committed to your well-being and want to make sure you have an excellent work-life balance. We offer you an opportunity to build your career in an international environment and to develop and learn continuously.

Your office will be in Espoo, Tampere, or Pori, but you also have a flexible opportunity to work partly remotely with our hybrid working model.

In addition, we offer:



Basware - Now it all just happens.

See more","Benefits found in job post
Commuter benefits"
"Senior Data Analyst, Ads","Data Analysis, Python (Programming Language), and SQLAdvertising, Communication, Dashboards, Gameplay, Key Metrics, Knowledge Acquisition, and Teamwork",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3702242885/?eBP=CwEAAAGLV25wME3ILitjrw5FMcopbVZj4xhraai0UirFX7oqsAPXLxXRpObQLN-0mbRQ49ixCt8miSNhV3s-d45m1E4KjiG0JRXk6UrIWlwQlhS4ofS8M_d5ZzFmq3oNhLJe8WbyVF5_ZQr9m6-W4kCG4jMtPUc6Vzx9ohQxohhPpYBcqL4IGS23dB3ApGrBRb2Fvlfa_SKQ0MAeI90Mr8UJmon_TtPNoz6HYwpP4wJComJ2NWP3vKah8r9dp8VBcFKJEalXpcSr-wfd-7vORSZoBV6xF4nibet6iEeQuoHOWmu47j4X5IByjjebKphvKp0ZJfmRuyfqzj2WLHavZtJSVhxykZSiUtJ5d-2WERqaRTsJduNxFi6L1YRo4JEFQJhY_Rg8oVoFVWphUbV4-aMx_9qZuzD1so4&refId=EGl5NGn6lBxnkhKOBQJ2nA%3D%3D&trackingId=YKD7ga9r6Tt7ZCpnsipURw%3D%3D&trk=flagship3_search_srp_jobs,Rovio Entertainment Corporation,https://www.linkedin.com/company/rovio/life,"Rovio Entertainment Corporation · Helsinki, Uusimaa, Finland Reposted  6 days ago  · 99 applicants",Reposted  6 days ago,0,"About the job
At Rovio you will get to work with one of the most famous games IP’s in the world: Angry Birds. Our mission is to “craft joy” for the wide audience that we reach with our games and products. In order to do that, we know that people need to bring their own joy to what we do. That’s why we value work-life balance, say no to crunch culture, and welcome people from all walks of life to join the flock. Today, we are a proud team of 500+ caring and talented professionals representing 54 different nations.

We trust our teams to work autonomously by providing them the right tools and level of responsibility. We believe in our teams to remain creative and to keep learning – as well as ensuring everyone has opportunities for personal growth.

Data is at the heart of everything we do at Rovio. It enables us to continually improve our games and provide incredible experiences for the millions of users who play our games every day. All of this data is only valuable if it can be used to guide our day to day operations. It is the job of Rovio data craft to turn that raw data into actionable insights for Rovio’s games teams and other business units. The data craft aims to empower Rovio’s teams with insightful data, and also with relevant tools and models that support decision making.

We are looking for a Senior Data Analyst who will be a main driver of Ads growth opportunities based on data insights.











See more",
Databricks data engineer,"Data Analytics, Data Engineering, Data Science, Data Warehousing, Extract, Transform, Load (ETL), Python (Programming Language), and SQLAirflow, Apache Kafka, and Apache Spark",Hybrid,Full-time,https://www.linkedin.com/jobs/view/3729429877/?eBP=CwEAAAGLV25wMbL9x14xTyc3WcZyJCBo4sqxWRkeVGCp5l8UthlpgZuNoCF3YjykWHEpRA7zWenK9ageL5Vad0GXlz_J_FhqK-mgcpLucHsJ2wrI9Azu_An-Yr1MAjQ074qnobhFqpUZDtHZOYkQJ5hrZJRk2LkMVK0RcCyuAidxllKeOQ-GFWA3cV4t8KuybtLtnz7vYetCmBVjZB-lrB8A6wu4em6kisxScvi9-0x8dqJ1LnMKNobSECMlzX_x-jQsijils7oFZmjtljCYabO7IGtbIckEtb5CN-voiOfgz-7xF1kMwuyrJIwzsxkBnKGub4lTBomi2IDjGQckGLU9Xs7wWNxZa31N6vouwTrYB38e2JzDGbw6ApKEGTQ3FOWT4Vvf&refId=EGl5NGn6lBxnkhKOBQJ2nA%3D%3D&trackingId=hDnB3ADWWMiUTQfIGv8%2BZA%3D%3D&trk=flagship3_search_srp_jobs,Accenture Nordics,https://www.linkedin.com/company/accenture-nordics/life,"Accenture Nordics · Helsinki, Uusimaa, Finland Reposted  1 week ago  · 19 applicants",Reposted  1 week ago,0,"About the job
Haemme Databricks data engineer -osaajia Accenture Data & AI -yksikköön, jossa sinulla on mahdollisuus työskennellä samanhenkisten ja inspiroivien kollegoiden kanssa käyttäen uusimpia teknologioita.

Meille Databricks data engineer tarkoittaa pilvipohjaisten ratkaisuiden ohjelmistokehittäjää, jolla on vahva datapainotus. Tehtävänäsi on auttaa osana tiimiä asiakkaitamme toteuttamaan datan välittämiseen, tallentamiseen, prosessointiin ja tarjoamiseen liittyviä ratkaisuja, kuten esimerkiksi















Datan hyödyntäminen edellyttää, että data on tarjolla oikeassa paikassa, oikeassa formaatissa, oikea-aikaisesti ja sisällöltään oikeana. Ilman luotettavaa ja tehokasta datan välittämistä niin inhimillinen kuin automatisoitukin päätöksenteko perustuu väärille tai vanhentuneille tiedoille. Roolissa pääset mahdollistamaan yrityksen tai organisaation kehittyminen toimimaan aidosti dataperusteisesti.

Databricks data engineer -roolissa toimit osana Accenturen globaalin Data & AI -yksikön pohjoismaista ryhmää. Asemapaikkasi on Suomi ja asiakkaasi johtavia pohjoismaisia yrityksiä ja organisaatioita.

Toivomme sinulta



























Jos edellä mainittujen lisäksi tai sijasta suurin kiinnostuksesi ja osaamisesi kohdistuu enemmän data-alustojen DevOps ja IaC -kyvykkyyksiin, niin kannattaa harkita myös Cloud Data Platform Engineer -roolia.

Miksi Accenture?

Koska ihmiset viihtyvät täällä; tekemämme työ on haastavaa, mielenkiintoista ja merkityksellistä. Accenture tarjoaa sinulle ainutlaatuisen urakokemuksen ja vertaansa vailla olevan mahdollisuuden kasvaa ja edetä. Meitä ohjaavat parhaat tulokset, mutta emme koskaan unohda tukea toisiamme. Haluamme haastaa työntekijämme ja antaa heille mahdollisuuden loistaa ja menestyä. Panostamme voimakkaasti ihmisten kasvuun ja osaamisen kehittämiseen. Paras ja ainoa voimavaramme ovat ihmiset. Uskomme heidän olevan parhaimmillaan, kun he tietävät, mitä heiltä odotetaan, ja haluamme tukea heitä eri elämänvaiheissa. Laaja MyWellbeing -ohjelmamme on yksi tärkeimmistä työkaluistamme siihen.

Accenture toivottaa tervetulleeksi ja rohkaisee hakemuksia erilaisista taustoista, jotka liittyvät sukupuoleen, etnisyyteen, kulttuuriin, ikään jne. Tarjoamme osallistavan ja monimuotoisuuden ympäristön, jossa jokainen tuo omaan työhönsä omanlaisensa kokemusta, lahjakkuutta ja kulttuuria. Kutsumme sinut olemaan osa tätä monimuotoisuutta!

Kiinnostunut? Tee siirtosi - jätä hakemus verkossa ja liitä mukaan CV ja hakemuskirje sekä ja palkkatoiveesi . Odotamme tapaamistasi!

See more",
